"Latitude (decimal degrees):	53.434",,,,,,
"Longitude (decimal degrees):	-9.060",,,,,,
"Elevation (m):	18",,,,,,
"Radiation database:	PVGIS-SARAH3",,,,,,
,,,,,,
,,,,,,
Slope: 30 deg. ,,,,,,
Azimuth: 0 deg. ,,,,,,
"Nominal power of the PV system (c-Si) (kWp):	7.9",,,,,,
"System losses (%):	14.0",,,,,,
time,P,G(i),H_sun,T2m,WS10m,Int
20220711:1711,918.4,157.05,30.97,18.99,2.83,0
20220711:1811,851.48,148.12,22.05,18.76,2.62,0
20220711:1911,257.72,54.87,13.38,17.95,2.76,0
20220711:2011,0,5.43,5.29,17.49,2.55,0
20220711:2111,0,0,0,16.95,2.62,0
20220711:2211,0,0,0,16.29,2.55,0
20220711:2311,0,0,0,15.88,2.69,0
20220712:0011,0,0,0,15.31,2.55,0
20220712:0111,0,0,0,14.84,2.34,0
20220712:0211,0,0,0,14.4,2.07,0
20220712:0311,0,0,0,14.15,2,0
20220712:0411,0,0,0,13.8,2,0
20220712:0511,64.71,20.82,5.05,13.65,2,0
20220712:0611,423.64,81.18,13.14,13.83,2,0
20220712:0711,1299.12,224.16,21.81,14.07,2.34,0
20220712:0811,2814.77,443.34,30.72,15.01,2.34,0
20220712:0911,3851.1,599.66,39.49,16.01,2.41,0
20220712:1011,3548,556.23,47.58,17.04,2.34,0
20220712:1111,2402.53,381.79,54.15,18.46,2.41,0
20220712:1211,1444.77,237.44,58.02,19.61,2.28,0
20220712:1311,1647.2,268.98,58.06,20.12,2.21,0
20220712:1411,1984.51,321.4,54.25,20.5,2.07,0
20220712:1511,2267.02,365.33,47.71,20.88,2.07,0
20220712:1611,1373.25,227.93,39.65,21.05,2.21,0
20220712:1711,1668.59,273.23,30.89,20.87,2.48,0
20220712:1811,687.69,123.14,21.97,20.23,2.69,0
20220712:1911,107.55,29.33,13.29,18.63,2,0
20220712:2011,0,4.53,5.19,18.06,2.14,0
20220712:2111,0,0,0,17.21,2.55,0
20220712:2211,0,0,0,16.39,2.69,0
20220712:2311,0,0,0,15.76,2.41,0
20220713:0011,0,0,0,14.97,1.86,0
20220713:0111,0,0,0,14.34,1.72,0
20220713:0211,0,0,0,13.66,1.66,0
20220713:0311,0,0,0,13.07,1.52,0
20220713:0411,0,0,0,12.47,1.38,0
20220713:0511,84.51,24.44,4.92,11.89,1.17,0
20220713:0611,448.03,86.17,13.01,12.94,0.97,0
20220713:0711,1005.44,170.74,21.68,14.24,0.83,0
20220713:0811,1363.9,222.89,30.6,15.47,0.34,0
20220713:0911,2318.82,369.21,39.36,16.76,0.69,0
20220713:1011,1605.94,261.48,47.44,18.06,0.97,0
20220713:1111,2775.09,446.06,54.01,18.72,0.69,0
20220713:1211,2580.81,415.78,57.88,19.59,1.03,0
20220713:1311,2834.17,457.02,57.92,20.44,1.31,0
20220713:1411,3695.87,596.71,54.13,21.18,1.72,0
20220713:1511,4447.24,719.37,47.61,21.55,2.07,0
20220713:1611,3689.53,589.43,39.55,21.47,2.48,0
20220713:1711,2503.2,404.99,30.8,21.32,2.76,0
20220713:1811,1108.17,192.89,21.88,20.93,2.76,0
20220713:1911,296.13,73.76,13.2,19.72,2.14,0
20220713:2011,95.75,27.15,5.09,18.64,2.41,0
20220713:2111,0,0,0,17.05,2.62,0
20220713:2211,0,0,0,15.79,2.34,0
20220713:2311,0,0,0,14.88,1.93,0
20220714:0011,0,0,0,14.29,1.93,0
20220714:0111,0,0,0,13.91,2.07,0
20220714:0211,0,0,0,13.62,2.21,0
20220714:0311,0,0,0,13.77,2.41,0
20220714:0411,0,0,0,13.76,2.62,0
20220714:0511,88.47,25.34,4.78,13.92,2.76,0
20220714:0611,412.79,79.99,12.88,14.47,2.48,0
20220714:0711,564.85,101.9,21.55,15.4,3.52,0
20220714:0811,647.38,114.46,30.47,16.22,4.48,0
20220714:0911,772.28,133.38,39.23,16.89,5.24,0
20220714:1011,580.85,105,47.3,17.62,5.31,0
20220714:1111,912.86,155.14,53.86,18.23,5.38,0
20220714:1211,703.38,123.92,57.73,18.52,5.45,0
20220714:1311,1164.16,192.98,57.78,18.7,5.17,0
20220714:1411,891.24,152.3,54.01,18.83,5.38,0
20220714:1511,828.12,142.84,47.5,18.63,4.62,0
20220714:1611,652.77,116.36,39.45,18.47,4.48,0
20220714:1711,659.34,117.3,30.7,18.37,4.55,0
20220714:1811,841.66,146.06,21.78,18.1,3.93,0
20220714:1911,63.04,20.81,13.1,18,3.52,0
20220714:2011,0,3.62,4.98,17.73,3.72,0
20220714:2111,0,0,0,17.53,3.52,0
20220714:2211,0,0,0,17.4,3.45,0
20220714:2311,0,0,0,17.31,3.45,0
20220715:0011,0,0,0,17.23,3.45,0
20220715:0111,0,0,0,17.15,3.45,0
20220715:0211,0,0,0,16.97,3.31,0
20220715:0311,0,0,0,16.82,3.17,0
20220715:0411,0,0,0,16.61,3.1,0
20220715:0511,0,3.62,4.64,16.54,2.97,0
20220715:0611,49.58,17.97,12.74,16.51,2.97,0
20220715:0711,88.23,25.54,21.42,16.6,2.9,0
20220715:0811,162.52,38.79,30.33,16.8,3.52,0
20220715:0911,1409.68,228.33,39.09,16.99,3.66,0
20220715:1011,1955.61,310.64,47.16,17.38,3.17,0
20220715:1111,879.52,150.41,53.71,18.01,3.38,0
20220715:1211,888.78,152.3,57.57,18.82,3.45,0
20220715:1311,917.69,157.03,57.63,19.4,3.52,0
20220715:1411,1034.59,175.01,53.87,19.98,3.72,0
20220715:1511,1621.62,263.68,47.38,20.14,3.59,0
20220715:1611,750.5,131.49,39.35,18.81,3.31,0
20220715:1711,988.42,166.59,30.6,17.98,3.79,0
20220715:1811,815.28,141.2,21.68,16.84,3.1,0
20220715:1911,32,14.19,12.99,15.87,2.69,0
20220715:2011,0,3.62,4.87,15.38,2.55,0
20220715:2111,0,0,0,14.97,2.28,0
20220715:2211,0,0,0,14.41,2.14,0
20220715:2311,0,0,0,14.03,2,0
20220716:0011,0,0,0,13.45,1.93,0
20220716:0111,0,0,0,13.42,1.86,0
20220716:0211,0,0,0,13.37,1.93,0
20220716:0311,0,0,0,13.12,1.79,0
20220716:0411,0,0,0,13.17,1.79,0
20220716:0511,60.35,19.91,4.49,12.78,1.79,0
20220716:0611,384.99,74.52,12.6,13.22,1.52,0
20220716:0711,1288.35,226.16,21.28,14.22,2,0
20220716:0811,980.58,163.71,30.19,15.17,2.83,0
20220716:0911,2034.17,319.54,38.95,15.46,2.97,0
20220716:1011,3075.26,477.41,47.01,16.16,3.24,0
20220716:1111,3658.88,568.62,53.56,16.55,3.52,0
20220716:1211,3501.19,545.16,57.41,16.99,3.72,0
20220716:1311,2465.02,386.95,57.48,17.5,4.07,0
20220716:1411,1549.71,250.05,53.74,18,4.41,0
20220716:1511,2577.8,402.48,47.26,17.51,4.48,0
20220716:1611,2308.76,361.02,39.23,16.92,4.28,0
20220716:1711,1703.12,271.93,30.49,16.69,4.14,0
20220716:1811,1060.73,180.21,21.57,16.35,3.93,0
20220716:1911,136.22,34.06,12.88,15.46,3.79,0
20220716:2011,0,3.62,4.75,15.18,2.97,0
20220716:2111,0,0,0,14.77,2.28,0
20220716:2211,0,0,0,14.09,2,0
20220716:2311,0,0,0,13.38,1.86,0
20220717:0011,0,0,0,13.31,1.79,0
20220717:0111,0,0,0,13.13,1.66,0
20220717:0211,0,0,0,12.86,1.59,0
20220717:0311,0,0,0,12.37,1.45,0
20220717:0411,0,0,0,12.1,1.31,0
20220717:0511,65.34,20.82,4.34,11.83,1.17,0
20220717:0611,394.42,76.17,12.45,12.68,0.97,0
20220717:0711,0,0,0,14.05,1.59,0
20220717:0811,1381.01,223.12,30.05,14.64,2,0
20220717:0911,2882.25,448.8,38.81,15.79,2.41,0
20220717:1011,2086.44,329.31,46.86,16.28,2.69,0
20220717:1111,1208.59,198.66,53.4,16.69,2.97,0
20220717:1211,2856.51,447.17,57.24,16.65,2.9,0
20220717:1311,4103.83,643.24,57.32,17.07,3.1,0
20220717:1411,1895.1,302.19,53.59,17.64,3.24,0
20220717:1511,3375.19,528.76,47.13,17.98,3.03,0
20220717:1611,2358.34,371.48,39.12,17.81,3.17,0
20220717:1711,2534.32,402.06,30.38,17.59,3.1,0
20220717:1811,1057.08,180.99,21.46,17.49,2.97,0
20220717:1911,430.06,86.14,12.76,17.1,2.34,0
20220717:2011,63.6,20.82,4.63,16.44,1.93,0
20220717:2111,0,0,0,15.47,1.79,0
20220717:2211,0,0,0,14.47,1.79,0
20220717:2311,0,0,0,13.57,1.79,0
20220718:0011,0,0,0,13.16,1.72,0
20220718:0111,0,0,0,12.86,1.66,0
20220718:0211,0,0,0,12.42,1.59,0
20220718:0311,0,0,0,12.23,1.52,0
20220718:0411,0,0,0,12.09,1.45,0
20220718:0511,14.81,9.96,4.19,11.49,1.38,0
20220718:0611,416.99,80.73,12.3,12.27,1.17,0
20220718:0711,1114.34,189.64,20.99,13.63,1.24,0
20220718:0811,1826.59,290.74,29.91,14.67,1.59,0
20220718:0911,2872.66,449.28,38.66,15.56,1.66,0
20220718:1011,2573.6,405.24,46.71,16.26,1.66,0
20220718:1111,3188.75,503.97,53.23,17.05,1.59,0
20220718:1211,4450.25,714.79,57.07,17.8,1.52,0
20220718:1311,1531.41,249.74,57.15,18.23,1.59,0
20220718:1411,1936.52,311.42,53.44,18.35,1.72,0
20220718:1511,2507.16,399.1,47,18.61,1.79,0
20220718:1611,1182.54,196.95,38.99,18.59,1.86,0
20220718:1711,1076.8,180.9,30.26,18.51,2,0
20220718:1811,1139.93,196.91,21.34,18.25,2.21,0
20220718:1911,389.74,76.57,12.64,16.95,2,0
20220718:2011,45.86,17.2,4.49,16.26,1.72,0
20220718:2111,0,0,0,15.27,1.59,0
20220718:2211,0,0,0,14.33,1.66,0
20220718:2311,0,0,0,13.63,1.72,0
20220719:0011,0,0,0,12.86,1.59,0
20220719:0111,0,0,0,12.02,1.31,0
20220719:0211,0,0,0,11.26,1.17,0
20220719:0311,0,0,0,10.19,1.24,0
20220719:0411,0,0,0,9.48,1.24,0
20220719:0511,30.57,13.58,4.03,9.35,1.1,0
20220719:0611,336.6,66.09,12.15,10.83,0.55,0
20220719:0711,845.7,144.76,20.84,13.09,0.69,0
20220719:0811,1521.04,244.73,29.76,14.53,1.24,0
20220719:0911,2881.85,450.77,38.51,15.65,1.66,0
20220719:1011,3101.47,486.12,46.55,16.28,1.86,0
20220719:1111,3799.38,597.58,53.06,16.98,2.28,0
20220719:1211,3432.61,540.6,56.89,17.74,2.55,0
20220719:1311,3888.48,612.56,56.98,18.27,3.03,0
20220719:1411,4974,788.1,53.28,18.65,3.38,0
20220719:1511,5060.17,798.84,46.86,18.72,3.45,0
20220719:1611,3664.9,572.19,38.86,18.59,3.66,0
20220719:1711,638.04,113.52,30.13,17.05,3.93,0
20220719:1811,362.5,70.95,21.21,15.73,3.52,0
20220719:1911,140.9,35,12.51,16.39,3.17,0
20220719:2011,0,3.62,4.36,15.86,2.62,0
20220719:2111,0,0,0,15.47,2.69,0
20220719:2211,0,0,0,15.32,2.83,0
20220719:2311,0,0,0,15.26,2.97,0
20220720:0011,0,0,0,15.23,3.17,0
20220720:0111,0,0,0,14.71,3.24,0
20220720:0211,0,0,0,14.66,3.03,0
20220720:0311,0,0,0,14.82,2.83,0
20220720:0411,0,0,0,14.93,2.69,0
20220720:0511,0,4.53,3.87,15.06,2.48,0
20220720:0611,372.72,73.75,11.99,15.22,2.28,0
20220720:0711,1170.34,204.77,20.69,15.75,2.48,0
20220720:0811,1989.74,316.42,29.61,16.06,2.55,0
20220720:0911,1635.4,261.76,38.35,16.43,2.76,0
20220720:1011,3747.35,582.99,46.38,17.2,3.38,0
20220720:1111,1582.26,255.12,52.88,17.64,3.38,0
20220720:1211,1978.97,315.06,56.71,17.88,3.38,0
20220720:1311,2514.84,396.16,56.8,17.53,3.03,0
20220720:1411,1559.45,251.96,53.12,17.42,2.76,0
20220720:1511,1184.67,195.82,46.71,17.38,2.69,0
20220720:1611,1813.76,289.63,38.73,17.73,3.1,0
20220720:1711,412.47,79.46,30,18.02,3.1,0
20220720:1811,802.61,140.13,21.08,17.96,3.1,0
20220720:1911,229.52,50.14,12.37,17.48,3.17,0
20220720:2011,0,2.72,4.21,16.68,3.1,0
20220720:2111,0,0,0,15.96,2.9,0
20220720:2211,0,0,0,15.4,2.55,0
20220720:2311,0,0,0,14.84,2.34,0
20220721:0011,0,0,0,14.23,2.21,0
20220721:0111,0,0,0,13.87,1.93,0
20220721:0211,0,0,0,13.61,1.86,0
20220721:0311,0,0,0,13.44,1.79,0
20220721:0411,0,0,0,13.18,1.72,0
20220721:0511,38.1,15.39,3.71,13.15,1.66,0
20220721:0611,228.25,49.19,11.84,13.37,1.38,0
20220721:0711,1051.22,179.96,20.54,14.26,2.21,0
20220721:0811,611.11,108.79,29.45,15.03,2,0
20220721:0911,1652.43,263.93,38.19,15.52,2,0
20220721:1011,2412.99,379.77,46.21,16.26,1.93,0
20220721:1111,3968.63,625.76,52.71,16.95,2.07,0
20220721:1211,6130.16,1005.67,56.52,17.92,1.93,0
20220721:1311,5762.28,940.29,56.61,18.87,2.14,0
20220721:1411,3999.44,635.15,52.95,19.27,2.55,0
20220721:1511,3437.76,542.66,46.55,19.41,2.83,0
20220721:1611,2447.2,388.06,38.58,19.39,2.9,0
20220721:1711,1348.06,221.73,29.86,18.86,2.9,0
20220721:1811,562.87,102.87,20.94,18.28,3.03,0
20220721:1911,161.57,38.79,12.23,17.92,3.24,0
20220721:2011,0,2.72,4.06,17.27,2.97,0
20220721:2111,0,0,0,16.83,2.83,0
20220721:2211,0,0,0,16.61,2.76,0
20220721:2311,0,0,0,16.49,2.41,0
20220722:0011,0,0,0,16.36,2.34,0
20220722:0111,0,0,0,16.31,2.34,0
20220722:0211,0,0,0,16.27,2.55,0
20220722:0311,0,0,0,16.21,2.41,0
20220722:0411,0,0,0,16.15,2.07,0
20220722:0511,1.74,6.34,3.54,16.05,1.93,0
20220722:0611,213.6,47.3,11.67,16.34,2.9,0
20220722:0711,707.81,124.94,20.38,16.86,2.83,0
20220722:0811,1002.04,168.62,29.3,17.64,3.1,0
20220722:0911,665.2,118.25,38.03,18.2,3.38,0
20220722:1011,1371.43,224.48,46.04,18.68,3.66,0
20220722:1111,1444.85,235.87,52.52,18.93,3.45,0
20220722:1211,1472.72,240.28,56.33,19.07,3.45,0
20220722:1311,3561.62,561.44,56.42,19.25,3.38,0
20220722:1411,3055.46,481.87,52.77,19.37,3.38,0
20220722:1511,3112.01,489.71,46.39,19.63,3.59,0
20220722:1611,1818.75,292.39,38.43,19.79,3.79,0
20220722:1711,1522.3,248.52,29.72,19.65,3.66,0
20220722:1811,239.18,52.03,20.8,19,3.38,0
20220722:1911,205.29,46.35,12.08,18.82,3.45,0
20220722:2011,0,4.53,3.91,18.05,3.03,0
20220722:2111,0,0,0,17.39,2.9,0
20220722:2211,0,0,0,16.64,2.69,0
20220722:2311,0,0,0,16.26,2.76,0
20220723:0011,0,0,0,16.04,2.76,0
20220723:0111,0,0,0,16.1,2.83,0
20220723:0211,0,0,0,16.21,2.97,0
20220723:0311,0,0,0,16.22,3.03,0
20220723:0411,0,0,0,16.26,3.1,0
20220723:0511,0,4.53,3.36,16.38,3.24,0
20220723:0611,114.05,30.27,11.51,16.61,3.79,0
20220723:0711,395.84,76.62,20.22,17.49,4.48,0
20220723:0811,1642.53,264.37,29.13,17.86,4.41,0
20220723:0911,1227.12,202.1,37.86,18.2,4.34,0
20220723:1011,898.6,153.25,45.87,18.06,3.59,0
20220723:1111,1371.59,224.2,52.33,17.87,2.83,0
20220723:1211,3173.46,500.83,56.13,17.76,2.21,0
20220723:1311,2449.81,389.05,56.22,17.82,1.93,0
20220723:1411,2434.85,386.89,52.59,18.23,2.07,0
20220723:1511,3774.67,595.76,46.23,18.17,2.21,0
20220723:1611,3765.56,592.57,38.28,18.51,2.48,0
20220723:1711,2609.01,416.73,29.57,18.51,2.83,0
20220723:1811,934.16,161.88,20.65,18.14,3.1,0
20220723:1911,381.43,76.73,11.93,17.44,2.83,0
20220723:2011,0,2.72,3.75,16.74,2.62,0
20220723:2111,0,0,0,16.13,2.14,0
20220723:2211,0,0,0,15.6,1.93,0
20220723:2311,0,0,0,15.2,1.79,0
20220724:0011,0,0,0,14.89,1.59,0
20220724:0111,0,0,0,14.37,1.52,0
20220724:0211,0,0,0,13.94,1.31,0
20220724:0311,0,0,0,13.46,1.17,0
20220724:0411,0,0,0,12.85,1.31,0
20220724:0511,0,3.62,3.19,12.62,1.03,0
20220724:0611,105.42,28.38,11.34,13.12,0.69,0
20220724:0711,1260.15,231.47,20.05,14.23,1.38,0
20220724:0811,1615.76,258.38,28.97,14.95,2.41,0
20220724:0911,2711.1,420.12,37.7,15.78,3.52,0
20220724:1011,2660.57,413.55,45.69,16.45,4,0
20220724:1111,3575.56,554.23,52.14,17.01,4.28,0
20220724:1211,2810.41,438.61,55.92,17.27,4.14,0
20220724:1311,1505.12,243.12,56.02,17.67,4.34,0
20220724:1411,1084.72,180.68,52.4,17.82,4.28,0
20220724:1511,2611.78,408.32,46.06,17.65,4.14,0
20220724:1611,2315.33,363.93,38.12,17.98,4.07,0
20220724:1711,1952.36,311.59,29.42,17.8,3.72,0
20220724:1811,1290.72,230.93,20.5,17.34,3.45,0
20220724:1911,387.21,77.46,11.77,17,2.76,0
20220724:2011,50.21,18.1,3.58,16.19,2.14,0
20220724:2111,0,0,0,15.25,1.93,0
20220724:2211,0,0,0,14.41,1.86,0
20220724:2311,0,0,0,13.82,1.93,0
20220725:0011,0,0,0,13.34,2,0
20220725:0111,0,0,0,12.87,2.21,0
20220725:0211,0,0,0,12.54,2.41,0
20220725:0311,0,0,0,12.38,2.55,0
20220725:0411,0,0,0,12.36,2.69,0
20220725:0511,1.98,6.34,3.01,12.24,2.83,0
20220725:0611,300.88,64.24,11.17,13.08,2.9,0
20220725:0711,1177.86,208.79,19.88,14.62,3.03,0
20220725:0811,2421.38,381.64,28.8,15.9,3.66,0
20220725:0911,2902.52,450.5,37.52,17.49,4.41,0
20220725:1011,2840.19,443.78,45.51,18.96,4.97,0
20220725:1111,3561.78,558.78,51.94,19.99,4.62,0
20220725:1211,4726.58,748.17,55.71,20.44,4.41,0
20220725:1311,5314.08,849.56,55.81,21,4.21,0
20220725:1411,2486.88,397.26,52.21,21.91,4.48,0
20220725:1511,4649.2,739.46,45.88,22.18,4.21,0
20220725:1611,3025.99,480.62,37.95,22.75,4.55,0
20220725:1711,2734.14,442.11,29.25,22.88,4.83,0
20220725:1811,1242.01,231.45,20.33,22.53,4.41,0
20220725:1911,301.36,69.2,11.6,22.13,3.59,0
20220725:2011,40.31,16.29,3.4,21.09,3.45,0
20220725:2111,0,0,0,19.9,3.86,0
20220725:2211,0,0,0,18.84,4.41,0
20220725:2311,0,0,0,17.71,4.41,0
20220726:0011,0,0,0,16.95,4.28,0
20220726:0111,0,0,0,16.54,4.28,0
20220726:0211,0,0,0,16.32,4.41,0
20220726:0311,0,0,0,16.2,4.55,0
20220726:0411,0,0,0,16.13,4.69,0
20220726:0511,0,1.81,2.83,16.11,4.83,0
20220726:0611,157.37,37.84,10.99,16.48,4.97,0
20220726:0711,252.17,53.92,19.71,17.95,4.28,0
20220726:0811,374.85,73.79,28.63,19.31,7.72,0
20220726:0911,2191.94,346.11,37.35,20.32,7.31,0
20220726:1011,2164.14,344.06,45.32,20.81,6.14,0
20220726:1111,1126.78,189.2,51.74,21.28,6.55,0
20220726:1211,1063.97,179.74,55.5,20.4,3.79,0
20220726:1311,1205.5,200.55,55.6,20.14,4.69,0
20220726:1411,598.44,108.79,52.01,19.86,4.14,0
20220726:1511,605.72,109.73,45.69,19.48,4,0
20220726:1611,434.97,83.25,37.78,18.96,3.59,0
20220726:1711,784.63,136.29,29.09,18.14,3.17,0
20220726:1811,690.23,122.56,20.17,17.64,2.83,0
20220726:1911,23.6,12.3,11.43,16.82,1.31,0
20220726:2011,0,1.81,3.23,16.42,1.31,0
20220726:2111,0,0,0,15.99,1.59,0
20220726:2211,0,0,0,15.22,1.59,0
20220726:2311,0,0,0,14.63,1.72,0
20220727:0011,0,0,0,13.89,2,0
20220727:0111,0,0,0,13.37,2.07,0
20220727:0211,0,0,0,13.55,2.14,0
20220727:0311,0,0,0,13.4,2.21,0
20220727:0411,0,0,0,13.21,2.34,0
20220727:0511,4.75,7.24,2.64,13.03,2.48,0
20220727:0611,245.12,51.94,10.82,13.39,2.62,0
20220727:0711,407.72,77.57,19.54,14.32,2.69,0
20220727:0811,958.56,160.06,28.46,15.17,4.41,0
20220727:0911,948.5,158.92,37.17,15.94,5.17,0
20220727:1011,2069.65,325.08,45.13,17.06,5.24,0
20220727:1111,2223.06,349.75,51.53,17.95,5.1,0
20220727:1211,4281.55,665.74,55.28,18.4,5.24,0
20220727:1311,879.67,150.41,55.38,18.2,4,0
20220727:1411,835.24,142.84,51.8,16.4,3.1,0
20220727:1511,1008.37,168.38,45.5,15.66,2.21,0
20220727:1611,1056.61,175.95,37.6,15.58,1.24,0
20220727:1711,664.57,117.3,28.91,15.4,0.69,0
20220727:1811,152.62,36.89,20,15.1,0.69,0
20220727:1911,197.45,44.46,11.25,15.23,1.79,0
20220727:2011,0,2.72,3.04,14.78,1.45,0
20220727:2111,0,0,0,14.48,1.24,0
20220727:2211,0,0,0,14.15,1.03,0
20220727:2311,0,0,0,13.54,0.97,0
20220728:0011,0,0,0,13.27,1.72,0
20220728:0111,0,0,0,12.7,3.03,0
20220728:0211,0,0,0,12.21,3.66,0
20220728:0311,0,0,0,11.94,4.21,0
20220728:0411,0,0,0,11.75,4,0
20220728:0511,0,1.81,2.45,11.61,4,0
20220728:0611,85.54,24.6,10.64,11.67,4.14,0
20220728:0711,381.82,72.84,19.36,11.61,1.86,0
20220728:0811,1244.31,200.74,28.28,12.29,2.07,0
20220728:0911,1725.77,270.88,36.99,13.11,3.03,0
20220728:1011,3275.47,501.59,44.94,13.35,3.03,0
20220728:1111,3849.67,591.45,51.32,14.53,3.72,0
20220728:1211,5262.13,815.21,55.05,15.01,4.28,0
20220728:1311,1616.31,255.79,55.15,14.53,4.83,0
20220728:1411,3544.2,543.42,51.59,15.35,4.83,0
20220728:1511,2397.38,369.78,45.31,14.76,5.17,0
20220728:1611,2206.67,341.14,37.42,14.46,4.97,0
20220728:1711,2332.76,363.46,28.74,14.39,4.62,0
20220728:1811,1177.47,204.11,19.82,14.51,4.48,0
20220728:1911,345.39,71.01,11.07,13.9,4.21,0
20220728:2011,0,1.81,2.85,13.5,3.31,0
20220728:2111,0,0,0,13.29,2.69,0
20220728:2211,0,0,0,12.68,2.28,0
20220728:2311,0,0,0,12.21,1.79,0
20220729:0011,0,0,0,11.86,1.59,0
20220729:0111,0,0,0,11.59,1.52,0
20220729:0211,0,0,0,11.08,1.38,0
20220729:0311,0,0,0,10.43,1.03,0
20220729:0411,0,0,0,10.02,0.9,0
20220729:0511,11.56,9.05,2.26,8.91,1.24,0
20220729:0611,295.89,60.94,10.45,9.2,0.97,0
20220729:0711,1154.89,203.85,19.19,11.81,1.03,0
20220729:0811,2702.3,428.28,28.11,13.85,1.31,0
20220729:0911,3889.67,606.96,36.8,15.04,1.72,0
20220729:1011,4551.78,714.95,44.74,16.01,2.21,0
20220729:1111,3057.67,476.7,51.11,16.43,2.97,0
20220729:1211,4020.59,626.77,54.82,16.84,3.52,0
20220729:1311,4898.28,766.29,54.92,16.99,3.93,0
20220729:1411,5504.4,864,51.37,16.85,3.93,0
20220729:1511,4824.94,750.17,45.1,16.64,3.79,0
20220729:1611,3344.93,516.96,37.23,16.44,3.72,0
20220729:1711,1565.78,250.95,28.55,15.85,3.59,0
20220729:1811,993.41,170.54,19.63,15.22,3.59,0
20220729:1911,94.49,26.49,10.88,14.38,3.59,0
20220729:2011,0,2.72,2.65,13.65,3.1,0
20220729:2111,0,0,0,12.98,3.24,0
20220729:2211,0,0,0,12.12,3.66,0
20220729:2311,0,0,0,11.7,4.34,0
20220730:0011,0,0,0,11.76,4.34,0
20220730:0111,0,0,0,11.49,4.55,0
20220730:0211,0,0,0,11.29,4.62,0
20220730:0311,0,0,0,11.01,4.34,0
20220730:0411,0,0,0,10.98,4.21,0
20220730:0511,8,8.15,2.07,10.97,4.14,0
20220730:0611,158.8,40.82,10.27,11.26,4.14,0
20220730:0711,248.05,52.03,19.01,11.98,3.66,0
20220730:0811,1432.49,227.81,27.92,12.71,4,0
20220730:0911,1301.49,209.06,36.62,13.62,4,0
20220730:1011,2092.46,325.44,44.54,14.24,4,0
20220730:1111,3010.31,464.73,50.89,15.19,3.72,0
20220730:1211,3527.96,544.85,54.59,15.51,3.79,0
20220730:1311,5287.15,824.06,54.68,15.68,4,0
20220730:1411,3794.87,581.83,51.14,14.81,4.28,0
20220730:1511,4740.6,730.19,44.9,15.46,4.14,0
20220730:1611,4185.32,638.84,37.03,14.88,4.41,0
20220730:1711,1848.21,291.73,28.36,15.05,4.34,0
20220730:1811,1262.53,229.22,19.44,14.65,4.28,0
20220730:1911,220.57,54.51,10.69,14.81,3.59,0
20220730:2011,14.49,9.96,2.45,14,3.17,0
20220730:2111,0,0,0,13.32,2.97,0
20220730:2211,0,0,0,12.73,3.03,0
20220730:2311,0,0,0,12.29,3.1,0
20220731:0011,0,0,0,12.04,3.52,0
20220731:0111,0,0,0,12.21,4,0
20220731:0211,0,0,0,12.29,4.34,0
20220731:0311,0,0,0,12.06,4.62,0
20220731:0411,0,0,0,12.05,4.76,0
20220731:0511,0,3.62,1.87,12.12,5.03,0
20220731:0611,50.85,17.97,10.08,12.21,5.45,0
20220731:0711,138.6,34.06,18.82,12.39,5.59,0
20220731:0811,467.83,86.08,27.74,12.88,5.38,0
20220731:0911,625.52,109.73,36.43,13.28,5.72,0
20220731:1011,973.61,160.82,44.34,13.44,5.66,0
20220731:1111,1252.15,201.49,50.67,13.93,6.48,0
20220731:1211,1417.05,226.09,54.35,14.64,6.62,0
20220731:1311,3953.58,599.03,54.44,15.07,7.45,0
20220731:1411,2458.21,378.72,50.91,15.6,7.17,0
20220731:1511,1295,209.38,44.68,15.97,7.03,0
20220731:1611,1730.12,272.5,36.83,15.77,6.55,0
20220731:1711,1455.7,233.22,28.17,15.87,6.83,0
20220731:1811,714.54,125.05,19.25,15.55,5.79,0
20220731:1911,99.24,27.43,10.49,15.26,5.03,0
20220731:2011,0,1.81,2.24,14.76,4.62,0
20220731:2111,0,0,0,14.31,4.28,0
20220731:2211,0,0,0,14.12,4,0
20220731:2311,0,0,0,14.07,3.86,0
20220801:0011,0,0,0,14.03,3.66,0
20220801:0111,0,0,0,14.02,3.59,0
20220801:0211,0,0,0,14.07,3.52,0
20220801:0311,0,0,0,14.12,3.45,0
20220801:0411,0,0,0,14.17,3.31,0
20220801:0511,0,0.91,1.67,14.26,3.24,0
20220801:0611,28.04,13.24,9.89,14.66,3.45,0
20220801:0711,120.38,31.22,18.64,15,3.72,0
20220801:0811,169.41,39.73,27.55,15.34,3.72,0
20220801:0911,719.61,124.87,36.23,15.29,3.79,0
20220801:1011,694.27,121.09,44.13,15.34,4.07,0
20220801:1111,662.98,116.36,50.44,15.35,4.69,0
20220801:1211,1330.64,214.74,54.11,15.51,5.24,0
20220801:1311,510.6,93.65,54.19,15.87,5.17,0
20220801:1411,1194.42,195.82,50.68,16.67,4.9,0
20220801:1511,1381.01,223.9,44.46,17.21,4.76,0
20220801:1611,979.7,164.6,36.62,17.34,4.69,0
20220801:1711,1436.93,232.73,27.96,17.12,4.34,0
20220801:1811,439.24,83.25,19.05,17.04,3.79,0
20220801:1911,44.91,17.03,10.28,16.85,3.38,0
20220801:2011,0,0.91,2.03,16.65,3.03,0
